"isocode","caplat","caplon","continent"
"SGS","-54.283333","-36.500000","Antarctica"
"ATF","-49.35","70.216667","Antarctica"
"PSE","31.766666666666666","35.233333","Asia"
"ALA","60.116667","19.900000","Europe"
"NRU","-0.5477","166.920867","Australia"
"MAF","18.0731","-63.082200","North America"
"TKL","-9.166667","-171.833333","Australia"
"ESH","27.153611","-13.203333","Africa"
"AFG","34.516666666666666","69.183333","Asia"
"ALB","41.31666666666667","19.816667","Europe"
"DZA","36.75","3.050000","Africa"
"ASM","-14.266666666666667","-170.700000","Australia"
"AND","42.5","1.516667","Europe"
"AGO","-8.833333333333334","13.216667","Africa"
"AIA","18.216666666666665","-63.050000","North America"
"ATG","17.116666666666667","-61.850000","North America"
"ARG","-34.583333333333336","-58.666667","South America"
"ARM","40.166666666666664","44.500000","Europe"
"ABW","12.516666666666667","-70.033333","North America"
"AUS","-35.266666666666666","149.133333","Australia"
"AUT","48.2","16.366667","Europe"
"AZE","40.38333333333333","49.866667","Europe"
"BHS","25.083333333333332","-77.350000","North America"
"BHR","26.233333333333334","50.566667","Asia"
"BGD","23.716666666666665","90.400000","Asia"
"BRB","13.1","-59.616667","North America"
"BLR","53.9","27.566667","Europe"
"BEL","50.833333333333336","4.333333","Europe"
"BLZ","17.25","-88.766667","Central America"
"BEN","6.483333333333333","2.616667","Africa"
"BMU","32.28333333333333","-64.783333","North America"
"BTN","27.466666666666665","89.633333","Asia"
"BOL","-16.5","-68.150000","South America"
"BIH","43.86666666666667","18.416667","Europe"
"BWA","-24.633333333333333","25.900000","Africa"
"BRA","-15.783333333333333","-47.916667","South America"
"VGB","18.416666666666668","-64.616667","North America"
"BRN","4.883333333333333","114.933333","Asia"
"BGR","42.68333333333333","23.316667","Europe"
"BFA","12.366666666666667","-1.516667","Africa"
"MMR","16.8","96.150000","Asia"
"BDI","-3.3666666666666667","29.350000","Africa"
"KHM","11.55","104.916667","Asia"
"CMR","3.8666666666666667","11.516667","Africa"
"CAN","45.416666666666664","-75.700000","Central America"
"CPV","14.916666666666666","-23.516667","Africa"
"CYM","19.3","-81.383333","North America"
"CAF","4.366666666666666","18.583333","Africa"
"TCD","12.1","15.033333","Africa"
"CHL","-33.45","-70.666667","South America"
"CHN","39.916666666666664","116.383333","Asia"
"CXR","-10.416666666666666","105.716667","Australia"
"CCK","-12.166666666666666","96.833333","Australia"
"COL","4.6","-74.083333","South America"
"COM","-11.7","43.233333","Africa"
"COD","-4.316666666666666","15.300000","Africa"
"COG","-4.25","15.283333","Africa"
"COK","-21.2","-159.766667","Australia"
"CRI","9.933333333333334","-84.083333","Central America"
"CIV","6.816666666666666","-5.266667","Africa"
"HRV","45.8","16.000000","Europe"
"CUB","23.116666666666667","-82.350000","North America"
"CUW","12.1","-68.916667","North America"
"CYP","35.166666666666664","33.366667","Europe"
"CZE","50.083333333333336","14.466667","Europe"
"DNK","55.666666666666664","12.583333","Europe"
"DJI","11.583333333333334","43.150000","Africa"
"DMA","15.3","-61.400000","North America"
"DOM","18.466666666666665","-69.900000","North America"
"ECU","-0.21666666666666667","-78.500000","South America"
"EGY","30.05","31.250000","Africa"
"SLV","13.7","-89.200000","Central America"
"GNQ","3.75","8.783333","Africa"
"ERI","15.333333333333334","38.933333","Africa"
"EST","59.43333333333333","24.716667","Europe"
"ETH","9.033333333333333","38.700000","Africa"
"FLK","-51.7","-57.850000","South America"
"FRO","62","-6.766667","Europe"
"FJI","-18.133333333333333","178.416667","Australia"
"FIN","60.166666666666664","24.933333","Europe"
"FRA","48.86666666666667","2.333333","Europe"
"PYF","-17.533333333333335","-149.566667","Australia"
"GAB","0.38333333333333336","9.450000","Africa"
"GMB","13.45","-16.566667","Africa"
"GEO","41.68333333333333","44.833333","Europe"
"DEU","52.516666666666666","13.400000","Europe"
"GHA","5.55","-0.216667","Africa"
"GIB","36.13333333333333","-5.350000","Europe"
"GRC","37.983333333333334","23.733333","Europe"
"GRL","64.18333333333334","-51.750000","Central America"
